ID;OddWord;NormalWords
1;Car;Apple,Banana,Orange
2;Dog;Table,Chair,Sofa
3;Blue;Run,Walk,Jump
4;Water;Sun,Moon,Cloud
5;Happy;One,Two,Three
6;Shirt;Cat,Bird,Fish
7;Fire;Snow,Ice,Cold
8;Pizza;Book,Pen,Eraser
9;Teacher;Red,Green,Yellow
10;Computer;Tree,Flower,Leaf
11;Pencil;Dog,Cat,Rabbit
12;Rain;Window,Door,Roof
13;Guitar;Train,Bus,Airplane
14;Tuesday;Spring,Summer,Autumn
15;Angry;Circle,Square,Triangle
16;Kitchen;Football,Basketball,Tennis
17;Dentist;Nose,Ear,Eye
18;Breakfast;Swim,Run,Jump
19;Purple;Monday,Friday,Sunday
20;Shark;Piano,Guitar,Violin
