ID;EnglishWord;Category
1;apple;Fruit
2;avocado;Fruit
3;banana;Fruit
4;coffee;Beverage
5;berries;Fruit
6;blueberries;Fruit
7;bottle;Household
8;bread;Bakery
9;candy;FastFood
10;carrot;Vegetable
11;cherries;Fruit
12;chicken;Meat
13;chocolate;FastFood
14;coconut;Fruit
15;croissant;Bakery
16;cucumber;Vegetable
17;dragon-fruit;Fruit
18;eggs;Dairy
19;flour;Pantry
20;fruit-juice;FastFood
21;grapes;Fruit
22;ice-cream;FastFood
23;kiwi;Fruit
24;lemon;Fruit
25;lime;Fruit
26;mango;Fruit
27;milk;Dairy
28;oil;Pantry
29;onion;Vegetable
30;orange;Fruit
31;cheese;Dairy
32;pear;Fruit
33;pineapple;Fruit
34;plum;Fruit
35;potato;Vegetable
36;pumpkin;Vegetable
37;salt;Pantry
38;soap;Household
39;spaghetti;Pantry
40;steak;Meat
41;strawberry;Fruit
42;toilet-roll;Household
43;tomato;Vegetable
44;toothpaste;Household
45;watermelon;Fruit
